Time,Price,Amount Bought,Amount Sold,Delta,Sum of Delta,Volume
1661327251932,151.4,0,6.88,-6.88,-7.0,6.88
1661328595876,152.2,3.39,0,3.39,-4.0,3.39
1661328595876,152.3,9.26,0,9.26,5.0,9.26
1661328596470,152.2,0,2.04,-2.04,3.0,2.04
1661328596643,152.1,0,0.86,-0.86,2.0,0.86
1661328624224,152.2,135.46,0,135.46,137.0,135.46
1661328624231,152.3,120.87,0,120.87,258.0,120.87
1661328624261,152.2,61.46,0,61.46,319.0,61.46
1661328629625,152.4,48.45,0,48.45,367.0,48.45
1661328632039,152.5,16.85,0,16.85,384.0,16.85
1661328664255,152.4,28.31,9.2,19.11,403.0,37.51
1661328705129,152.5,7.21,0,7.21,410.0,7.21
1661328709836,152.6,0.27,0,0.27,410.0,0.27
1661328709836,152.7,0.11,0,0.11,410.0,0.11
1661328779938,152.6,4.03,0,4.03,414.0,4.03
1661328791326,152.5,0,1.32,-1.32,413.0,1.32
1661328825062,152.6,23.88,0,23.88,437.0,23.88
1661328830999,152.5,0,16.0,-16.0,421.0,16.0
1661328836615,152.6,2.0,0,2.0,423.0,2.0
1661328836754,152.5,0,0.2,-0.2,423.0,0.2
1661328847794,152.6,4.32,0,4.32,427.0,4.32
1661328854433,152.7,91.71,0,91.71,519.0,91.71
1661328854445,152.8,176.83,0,176.83,696.0,176.83
1661328854464,152.7,8.6,0,8.6,705.0,8.6
1661328854660,152.8,18.57,0,18.57,724.0,18.57
1661328854746,152.9,21.75,0,21.75,746.0,21.75
1661328855133,152.8,0,1.14,-1.14,745.0,1.14
1661328855147,152.9,1.31,0,1.31,746.0,1.31
1661328859734,152.8,6.64,0,6.64,753.0,6.64
1661328873740,152.9,87.41,0,87.41,840.0,87.41
1661328875193,152.7,0,0.07,-0.07,840.0,0.07
1661328936868,152.8,11.87,1.19,10.68,851.0,13.06
1661328949389,152.7,0,4.99,-4.99,846.0,4.99
1661328969086,152.8,6.96,0,6.96,853.0,6.96
1661328969086,152.9,1.24,0,1.24,854.0,1.24
1661328971615,152.7,0,2.12,-2.12,852.0,2.12
1661328990865,152.8,21.95,0,21.95,874.0,21.95
1661328990865,152.9,54.78,0,54.78,929.0,54.78
1661328990865,153.0,114.41,0,114.41,1043.0,114.41
1661328990905,152.9,39.18,0,39.18,1082.0,39.18
1661328990942,153.0,9.72,0,9.72,1092.0,9.72
1661328990986,152.9,0,4.26,-4.26,1088.0,4.26
1661328995094,153.0,25.63,0,25.63,1114.0,25.63
1661329017808,153.1,67.56,0,67.56,1182.0,67.56
1661329018541,153.0,0,0.13,-0.13,1182.0,0.13
1661329067244,153.1,0.29,0,0.29,1182.0,0.29
1661329120328,153.0,0,17.84,-17.84,1164.0,17.84
1661329140774,152.8,24.16,4.32,19.84,1184.0,28.48
1661329156617,152.9,1.49,0.33,1.16,1185.0,1.82
1661329167416,153.0,18.54,0,18.54,1204.0,18.54
1661329198901,153.1,24.88,0,24.88,1229.0,24.88
1661329198902,153.2,20.46,0,20.46,1249.0,20.46
1661329198929,153.1,12.0,0,12.0,1261.0,12.0
1661329200986,153.2,11.91,0,11.91,1273.0,11.91
1661329235498,153.1,0,8.1,-8.1,1265.0,8.1
1661329245922,153.2,6.93,0,6.93,1272.0,6.93
1661329259032,153.1,0,0.25,-0.25,1272.0,0.25
1661329259032,153.0,0,3.49,-3.49,1269.0,3.49
1661329263245,153.1,0.4,0,0.4,1269.0,0.4
1661329263785,153.0,0,0.14,-0.14,1269.0,0.14
1661329272966,153.1,17.48,0,17.48,1286.0,17.48
1661329296740,153.2,1.69,0,1.69,1288.0,1.69
1661329296760,153.3,61.67,0,61.67,1350.0,61.67
1661329296771,153.4,10.12,0,10.12,1360.0,10.12
1661329296792,153.3,16.41,0,16.41,1376.0,16.41
1661329296877,153.4,12.37,0,12.37,1388.0,12.37
1661329297006,153.3,0,7.06,-7.06,1381.0,7.06
1661329331630,153.4,18.73,0.7,18.03,1399.0,19.43
1661329342713,153.5,43.33,0,43.33,1442.0,43.33
1661329363725,153.6,34.95,0,34.95,1477.0,34.95
1661329376542,153.7,24.15,0,24.15,1501.0,24.15
1661329376905,153.6,0,0.27,-0.27,1501.0,0.27
1661329380042,153.7,0.2,0,0.2,1501.0,0.2
1661329386478,153.6,0,9.0,-9.0,1492.0,9.0
1661329386478,153.5,0,22.27,-22.27,1470.0,22.27
1661329393339,153.6,29.99,0,29.99,1500.0,29.99
1661329393530,153.7,24.61,0,24.61,1525.0,24.61
1661329394171,153.6,0,1.2,-1.2,1524.0,1.2
1661329398456,153.7,0.65,0,0.65,1525.0,0.65
1661329404047,153.6,8.65,0,8.65,1534.0,8.65
1661329410208,153.7,16.35,0,16.35,1550.0,16.35
1661329411383,153.8,2.26,0,2.26,1552.0,2.26
1661329413090,153.7,0,0.27,-0.27,1552.0,0.27
1661329417179,153.8,2.59,0,2.59,1555.0,2.59
1661329427949,153.6,0,0.28,-0.28,1555.0,0.28
1661329440159,153.7,12.62,0.13,12.49,1567.0,12.75
1661329482652,153.6,15.36,16.89,-1.53,1565.0,32.25
1661329498846,153.7,5.22,0,5.22,1570.0,5.22
1661329500376,153.8,41.55,0,41.55,1612.0,41.55
1661329500442,153.9,59.12,0,59.12,1671.0,59.12
1661329500458,153.8,0,0.07,-0.07,1671.0,0.07
1661329503916,153.9,10.08,0.08,10.0,1681.0,10.16
